Wall time,Step,Value
1575485848.468863,75,0.5750789046287537
1575485848.499794,76,0.5742037892341614
1575485848.507832,77,0.6240564584732056
1575485848.598016,78,0.6312147378921509
1575485848.626975,79,0.5735260844230652
1575485848.6342359,80,0.5727958083152771
1575485848.723382,81,0.6327059864997864
1575485848.751455,82,0.5810579657554626
1575485848.759246,83,0.5771071910858154
1575485848.85088,84,0.5697668194770813
1575485848.879266,85,0.5573959350585938
1575485848.887188,86,0.5985009670257568
1575485848.975704,87,0.6042214632034302
1575485849.004454,88,0.6080913543701172
1575485849.011428,89,0.5377135872840881
1575485849.1022651,90,0.5746898651123047
1575485849.130388,91,0.576342761516571
1575485849.1382349,92,0.5264911651611328
1575485849.2297118,93,0.5769641399383545
1575485849.2578502,94,0.6047844886779785
1575485849.265632,95,0.5451194047927856
1575485849.3569238,96,0.5844196677207947
1575485849.388695,97,0.5692464709281921
1575485849.39694,98,0.6261024475097656
1575485849.485424,99,0.5920144319534302
1575485849.513193,100,0.5812052488327026
1575485849.520376,101,0.609312117099762
1575485849.613206,102,0.5728585720062256
1575485849.643271,103,0.5746375322341919
1575485849.65081,104,0.6094691753387451
1575485849.741042,105,0.6104632616043091
1575485849.7705019,106,0.6031248569488525
1575485849.7785962,107,0.5456777215003967
1575485849.874296,108,0.6112158298492432
1575485849.904814,109,0.5869925022125244
1575485849.9124842,110,0.5500105619430542
1575485850.0057778,111,0.6149423718452454
1575485850.0342321,112,0.5794104337692261
1575485850.04214,113,0.5428630709648132
1575485850.132002,114,0.556425154209137
1575485850.160675,115,0.5925512909889221
1575485850.168763,116,0.6061871647834778
1575485850.259619,117,0.5617150068283081
1575485850.28838,118,0.5601527094841003
1575485850.2962382,119,0.6719662547111511
1575485850.3947892,120,0.5289410948753357
1575485850.4223711,121,0.5916537046432495
1575485850.4295192,122,0.6052820086479187
1575485850.521725,123,0.5718454718589783
1575485850.5507112,124,0.5764657258987427
1575485850.557924,125,0.5255733132362366
1575485850.650475,126,0.6056318283081055
1575485850.6793978,127,0.6057904958724976
1575485850.686809,128,0.5133171677589417
1575485850.77873,129,0.6055606603622437
1575485850.808985,130,0.5883061289787292
1575485850.816489,131,0.52632737159729
1575485850.9096699,132,0.566702663898468
1575485850.942985,133,0.5918909311294556
1575485850.951936,134,0.5737940073013306
1575485851.045182,135,0.5731117725372314
1575485851.072716,136,0.5804724097251892
1575485851.080554,137,0.619054913520813
1575485851.17414,138,0.5624472498893738
1575485851.205472,139,0.4779932498931885
1575485851.2137249,140,0.6608371138572693
1575485851.3128169,141,0.5489471554756165
1575485851.340492,142,0.5520619750022888
1575485851.348074,143,0.6329784989356995
1575485851.444504,144,0.6311812400817871
1575485851.473551,145,0.572543203830719
1575485851.481568,146,0.6029014587402344
1575485851.573162,147,0.5621423125267029
1575485851.603956,148,0.6238755583763123
1575485851.6118631,149,0.604557454586029
